,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
572,3404847,1000,3783697,1080.3,71,76,31,63,73,107,86,54,88,46,False,False,False,1489071421
573,3336725,1000,1983234,1048.33,64,55,83,11,42,60,16,30,8,39,False,False,False,1495617103
574,2596350,1000,2429870,1094.44,11,3,59,87,74,55,112,78,21,4,False,False,False,1448494569
575,2189564,1063.71,3756039,1000,108,34,87,54,62,20,2,30,56,67,True,False,False,1486122517
576,2581813,1188.72,350190,1338.47,60,58,5,12,9,86,66,96,109,52,False,True,True,1506697360
577,55,1140.79,2006913,1291.81,112,51,30,97,93,91,61,72,86,73,True,True,True,1444768543
578,5,1294.52,4,1160.77,16,111,15,85,59,76,65,86,93,68,True,False,True,1477976337
580,4147910,1036.3,2784193,1000,64,31,6,92,25,87,30,104,77,34,False,False,False,1494900406
581,3326875,1269.74,4425527,1057.85,60,25,37,81,65,20,15,71,35,108,False,True,False,1498571072
586,2184902,1000,2277781,1034.02,30,51,60,19,22,100,53,105,25,62,False,False,True,1433702994
588,1633432,1000,15,1511.43,22,71,61,26,93,91,19,2,25,100,False,False,False,1431628970
589,147,1000,2672298,1125.65,65,111,37,15,46,54,79,16,9,11,False,True,True,1477151472
590,2490065,1000,2664907,1061.06,38,75,21,27,8,55,74,62,20,70,False,True,False,1451236171
593,1838315,1491.97,2640025,1232.58,50,2,20,100,95,28,54,75,32,17,True,True,False,1487827536
594,1838315,1491.97,39,1451.66,72,39,85,62,5,66,26,80,55,43,True,True,True,1431904858
596,3653540,1000,2552670,1159.36,41,103,50,72,13,114,25,2,8,27,False,False,True,1491935596
597,484909,1124.5,1884658,1000,92,11,7,54,26,72,86,25,55,106,True,True,True,1431672368
598,1412659,1000,4542817,1109.4,31,99,87,25,67,92,13,40,46,37,False,False,True,1502360176
600,2640025,1232.58,3547682,1156.43,28,55,8,17,20,108,54,106,37,9,False,True,True,1484376512
601,2586976,1351.81,2783913,1160.23,110,107,8,80,49,55,60,87,89,19,True,False,False,1463821436
602,5,1294.52,726228,1396.74,114,25,97,8,86,107,5,13,67,88,True,False,False,1492341680
603,2789717,1169.95,2538753,1068.9,55,87,93,107,74,38,8,111,73,52,True,True,True,1465408684
606,543897,1523.46,2789395,1088.66,30,55,8,73,84,20,58,53,56,67,False,True,False,1462521060
